State	p.2015	p.2010	p.2000	p.1990	p.1950	p.1900
Alabama	4858979	4779735	4447100	4040587	3061743	1828697
Alaska	738432	710231	626932	550043	128643	63592
Arizona	6828065	6329013	5130632	3665228	749587	122931
Arkansas	2978204	2915921	2673400	2350725	1909511	1311564
California	39144818	37253956	33871648	29760021	10586223	1485053
Colorado	5456574	5029196	4301261	3294394	1325089	539700
Connecticut	3590886	3574097	3405565	3287116	2007280	908420
Delaware	945934	897934	783600	666168	318085	184735
District of Columbia	672228	601723	572059	606900	802178	278718
Florida	20271272	18801311	15982378	12937926	2771305	528542
Georgia	10214860	9687653	8186453	6478216	3444578	2216331
Hawaii	1431603	1360301	1211537	1108229	499794	154001
Idaho	1654930	1567582	1293953	1006749	588637	161772
Illinois	12859995	12830632	12419293	11430602	8712176	4821550
Indiana	6619680	6483800	6080485	5544159	3934224	2516462
Iowa	3123899	3046350	2926324	2776755	2621073	2231853
Kansas	2911641	2853118	2688418	2477574	1905299	1470495
Kentucky	4425092	4339362	4041769	3685296	2944806	2147174
Louisiana	4649676	4515770	4468976	4219973	2683516	1381625
Maine	1329328	1328361	1274923	1227928	913774	694466
Maryland	6006401	5773552	5296486	4781468	2343001	1188044
Massachusetts	6794422	6547629	6349097	6016425	4690514	2805346
Michigan	9922576	9883635	9938444	9295297	6371766	2420982
Minnesota	5489594	5303925	4919479	4375099	2982483	1751394
Mississippi	2992333	2967297	2844658	2573216	2178914	1551270
Missouri	6083672	5988927	5595211	5117073	3954653	3106665
Montana	1032949	989415	902195	799065	591024	243329
Nebraska	1896190	1826341	1711263	1578385	1325510	1066300
Nevada	2890845	2700551	1998257	1201833	160083	42335
New Hampshire	1330608	1316472	1235786	1109252	533242	411588
New Jersey	8958013	8791894	8414350	7730188	4835329	1883669
New Mexico	2085109	2059180	1819046	1515069	681187	195310
New York	19795791	19378104	18976457	17990455	14830192	7268894
North Carolina	10042802	9535475	8049313	6628637	4061929	1893810
North Dakota	756927	672591	642200	638800	619636	319146
Ohio	11613423	11536502	11353140	10847115	7946627	4157545
Oklahoma	3911338	3751354	3450654	3145585	2233351	7903912
Oregon	4028977	3831074	3421399	2842321	1521341	413536
Pennsylvania	12802503	12702379	12281054	11881643	10498012	6302115
Rhode Island	1056298	1052567	1048319	1003464	791896	428556
South Carolina	4896146	4625364	4012012	3486703	2117027	1340316
South Dakota	858469	814180	754844	696004	652740	401570
Tennessee	6600299	6346110	5689283	4877185	3291718	2020616
Texas	27469114	25145561	20851820	16986510	7711194	3048710
Utah	2995919	2763885	2233169	1722850	688862	276749
Vermont	626042	625741	608827	562758	377747	343641
Virginia	8382993	8001024	7078515	6187358	3318680	1854184
Washington	7170351	6724540	5894121	4866692	2378963	518103
West Virginia	1844128	1852996	1808344	1793477	2005552	958800
Wisconsin	5771337	5686986	5363675	4891769	3434575	2069042
Wyoming	586107	563626	493782	453588	290529	92531
